Liberal/The Nationals,610992.00,,,,,
Australian Labor Party,597893.00,,,,,
The Greens,214938.00,,,,,
Derryn Hinch's Justice Party,112970.00,,,,,
Pauline Hanson's One Nation,32772.00,,,,,
Animal Justice Party,30999.00,,,,,
Australian Sex Party,30362.00,,,,,
Nick Xenophon Team,28812.00,,,,,
Liberal Democrats,25068.00,,,,,
Family First Party,21902.00,,,,,
Australian Christians,19945.00,,,,,
"Shooters, Fishers and Farmers",18604.00,,,,,
Australian Motoring Enthusiast Party,18038.00,,,,,
Drug Law Reform,12962.00,,,,,
Australian Liberty Alliance,12176.00,,,,,
DLP Democratic Labour,9881.00,,,,,
Health Australia Party,9067.00,,,,,
Marriage Equality,8899.00,,,,,
Jacqui Lambie Network,8009.00,,,,,
Pirate Party,7476.00,,,,,
Science Party / Cyclists Party,6521.00,,,,,
Palmer United Party,5900.00,,,,,
Rise Up Australia Party,5795.00,,,,,
Sustainable Australia,5713.00,,,,,
Christian Democratic Party (Fred Nile Group),5354.00,,,,,
Australian Country Party,4818.00,,,,,
Renewable Energy Party,4398.00,,,,,
The Arts Party,4245.00,,,,,
MFP,3076.00,,,,,
Australian Progressives,2716.00,,,,,
Voluntary Euthanasia Party,2654.00,,,,,
Socialist Equality Party,1883.00,,,,,
Group B,1755.00,,,,,
VOTEFLUX.ORG | Upgrade Democracy!,1681.00,,,,,
Mature Australia,1659.00,,,,,
Socialist Alliance,1465.00,,,,,
Secular Party of Australia,1375.00,,,,,
Citizens Electoral Council,1156.00,,,,,
Ungrouped candidates,1506.00,,,,,
